BillNum,ShortTitle,HouseSponsor,HouseAddSponsor,HouseCoSponsor,SenateSponsor,SenateAddSponsor,Textbox16
HB22-1001,Reduce Fees For Bus Filings,"Cutter, Sullivan",,"Bacon, Bernett, Bird, Boesenecker, Esgar, Exum, Gray, Jodeh, Lindsay, McLachlan, Mullica, Ortiz, Ricks, Roberts, Titone, Valdez A., Weissman, Woodrow, Garnett, Herod, McCluskie, Snyder, Valdez D.","Pettersen, Kolker",,"Jaquez Lewis, Winter, Zenzinger"
HB22-1002,Fifth Year High School Concurrent Enrollment,"Weissman, Bacon",,,Buckner,,
HB22-1003,Youth Delinquency Prevention & Intervention Grants,"Daugherty, Gonzales-Gutierrez",,"Amabile, Bacon, Benavidez, Bernett, Bird, Boesenecker, Caraveo, Cutter, Duran, Esgar, Exum, Froelich, Gray, Herod, Hooton, Jodeh, Kennedy, Kipp, Lindsay, Lontine, McCluskie, McCormick, Michaelson Jenet, Ricks, Sirota, Snyder, Sullivan, Tipper, Titone, Valdez A., Valdez D., Weissman","Coleman, Hinrichsen",,"Bridges, Buckner, Danielson, Donovan, Fields, Ginal, Gonzales, Hansen, Jaquez Lewis, Kolker, Lee, Moreno, Pettersen, Priola, Rodriguez, Story, Winter, Zenzinger, Fenberg"
HB22-1004,Driver License Fee Reduction,"Ortiz, Young",,"Bird, Esgar, Exum, Gray, Jodeh, Lindsay, McCluskie, Michaelson Jenet, Roberts, Snyder, Weissman, Garnett, Herod, Hooton, Ricks, Valdez D.","Fields, Kolker",,
HB22-1005,Health-care Preceptors Tax Credit,"McCluskie, Will",,"Amabile, Bernett, Bird, Bockenfeld, Caraveo, Cutter, Duran, Esgar, Exum, Jodeh, Kennedy, Kipp, Lindsay, Lontine, McLachlan, Michaelson Jenet, Mullica, Pelton, Ricks, Roberts, Soper, Titone, Valdez A., Valdez D., Weissman",Rankin,,"Donovan, Ginal, Gonzales, Hansen, Jaquez Lewis, Lee, Moreno, Pettersen, Priola, Winter"
HB22-1006,Child Care Center Property Tax Exemption,"Roberts, Van Winkle",,"Bacon, Bernett, Bird, Cutter, Esgar, Exum, Herod, Hooton, Jodeh, Kennedy, Kipp, Lindsay, McCluskie, McCormick, Michaelson Jenet, Mullica, Pico, Ricks, Sandridge, Titone, Valdez A., Valdez D., Van Beber, Williams, Young, Froelich, Lontine, Sirota","Donovan, Smallwood",,"Buckner, Danielson, Fields, Ginal, Gonzales, Hinrichsen, Hisey, Jaquez Lewis, Lee, Moreno, Pettersen, Priola, Simpson, Sonnenberg, Story, Winter, Zenzinger, Fenberg"
HB22-1007,Assistance Landowner Wildfire Mitigation,"Valdez D., Lynch","Cutter, Will","Amabile, Bacon, Benavidez, Bernett, Bird, Boesenecker, Carver, Esgar, Exum, Froelich, Gonzales-Gutierrez, Herod, Hooton, Jodeh, Kipp, Lindsay, Lontine, McCluskie, McCormick, McLachlan, Michaelson Jenet, Mullica, Ortiz, Ricks, Roberts, Sandridge, Snyder, Titone, Weissman, Woodrow","Simpson, Lee","Ginal, Story","Bridges, Buckner, Cooke, Danielson, Donovan, Fields, Gardner, Gonzales, Hansen, Holbert, Jaquez Lewis, Liston, Lundeen, Moreno, Pettersen, Rankin, Sonnenberg, Woodward, Fenberg"
HB22-1008,Implementation Of Fertility Coverage,"Tipper, Soper",Ortiz,"Amabile, Bacon, Bernett, Bird, Boesenecker, Caraveo, Cutter, Esgar, Exum, Froelich, Gonzales-Gutierrez, Gray, Herod, Hooton, Jodeh, Kennedy, Lindsay, McCluskie, McCormick, McLachlan, Michaelson Jenet, Mullica, Ricks, Roberts, Sirota, Sullivan, Titone, Valdez A., Valdez D., Weissman","Fenberg, Winter",,"Buckner, Fields, Ginal, Gonzales, Hansen, Hinrichsen, Kolker, Moreno, Pettersen, Rodriguez, Story, Zenzinger"
HB22-1009,Continue Workforce Diploma Pilot Program,"Gray, Sullivan",,,Zenzinger,,
HB22-1010,Early Childhood Educator Income Tax Credit,"Sirota, Van Beber",Kipp,"Amabile, Bacon, Bernett, Bird, Boesenecker, Caraveo, Duran, Esgar, Exum, Froelich, Gonzales-Gutierrez, Gray, Herod, Jodeh, Kennedy, Lindsay, Lontine, McCluskie, McCormick, McLachlan, Michaelson Jenet, Roberts, Snyder, Tipper, Titone, Valdez A., Weissman, Woodrow, Young, Garnett, Cutt","Buckner, Kirkmeyer",Story,"Bridges, Fields, Ginal, Hinrichsen, Jaquez Lewis, Lee, Pettersen, Zenzinger, Fenberg"
